"code_system","code","display"
"https://ibsi.readthedocs.io/en/latest/","7HP3","Normalised grey level non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","V294","Zone distance non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","IATH","Zone distance non-uniformity normalised"
"https://ibsi.readthedocs.io/en/latest/","VIWW","Zone percentage"
"https://ibsi.readthedocs.io/en/latest/","QK93","Grey level variance"
"https://ibsi.readthedocs.io/en/latest/","7WT1","Zone distance variance"
"https://ibsi.readthedocs.io/en/latest/","GBDU","Zone distance entropy"
"https://ibsi.readthedocs.io/en/latest/","IPET","Neighbourhood grey tone difference based features"
"https://ibsi.readthedocs.io/en/latest/","QCDE","Coarseness"
"https://ibsi.readthedocs.io/en/latest/","65HE","Contrast"
"https://ibsi.readthedocs.io/en/latest/","NQ30","Busyness"
"https://ibsi.readthedocs.io/en/latest/","HDEZ","Complexity"
"https://ibsi.readthedocs.io/en/latest/","1X9X","Strength"
"https://ibsi.readthedocs.io/en/latest/","REK0","Neighbouring grey level dependence based features"
"https://ibsi.readthedocs.io/en/latest/","SODN","Low dependence emphasis"
"https://ibsi.readthedocs.io/en/latest/","IMOQ","High dependence emphasis"
"https://ibsi.readthedocs.io/en/latest/","TL9H","Low grey level count emphasis"
"https://ibsi.readthedocs.io/en/latest/","OAE7","High grey level count emphasis"
"https://ibsi.readthedocs.io/en/latest/","EQ3F","Low dependence low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","JA6D","Low dependence high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","NBZI","High dependence low grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","9QMG","High dependence high grey level emphasis"
"https://ibsi.readthedocs.io/en/latest/","FP8K","Grey level non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","5SPA","Normalised grey level non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","Z87G","Dependence count non-uniformity"
"https://ibsi.readthedocs.io/en/latest/","OKJI","Dependence count non-uniformity normalised"
"https://ibsi.readthedocs.io/en/latest/","6XV8","Dependence count percentage"
"https://ibsi.readthedocs.io/en/latest/","1PFV","Grey level variance"
"https://ibsi.readthedocs.io/en/latest/","DNX2","Dependence count variance"
"https://ibsi.readthedocs.io/en/latest/","FCBV","Dependence count entropy"
"https://ibsi.readthedocs.io/en/latest/","CAS9","Dependence count energy"
"https://ibsi.readthedocs.io/en/latest/","5QB6","feature aggregation"
"https://ibsi.readthedocs.io/en/latest/","3IDG","feature computed per slice, and averaged over slices"
"https://ibsi.readthedocs.io/en/latest/","DHQ4","feature computed over the volume"
"https://ibsi.readthedocs.io/en/latest/","BTW3","feature computed from 2D directional matrix and averaged over 2D directions and slices"
"https://ibsi.readthedocs.io/en/latest/","SUJT","feature computed from a single matrix after merging 2D directional matrices per slice, and averaged over slices"
"https://ibsi.readthedocs.io/en/latest/","ZW7Z","feature computed from a single matrix after merging all 2D directional matrices"
"https://ibsi.readthedocs.io/en/latest/","ITBB","feature computed from 3D directional matrix and averaged over 3D directions"
"https://ibsi.readthedocs.io/en/latest/","IAZD","feature computed from a single matrix after merging all 3D directional matrices"
"https://ibsi.readthedocs.io/en/latest/","8QNN","feature computed from 2D matrix and averaged over slices"
"https://ibsi.readthedocs.io/en/latest/","62GR","feature computed from a single matrix after merging all 2D matrices"
"https://ibsi.readthedocs.io/en/latest/","KOBO","feature computed from 3D matrix"
"https://ibsi.readthedocs.io/en/latest/","MPUJ","grid distances"
"https://ibsi.readthedocs.io/en/latest/","LIFZ","manhattan norm"
"https://ibsi.readthedocs.io/en/latest/","G9EV","euclidean norm"
"https://ibsi.readthedocs.io/en/latest/","PVMT","chebyshev norm"
"https://ibsi.readthedocs.io/en/latest/","ECJF","ROI submasks"
"https://ibsi.readthedocs.io/en/latest/","SEFI","intensity mask"
"https://ibsi.readthedocs.io/en/latest/","G5KJ","morphological mask"
"https://ibsi.readthedocs.io/en/latest/","IF9H","re-segmentation"
"https://ibsi.readthedocs.io/en/latest/","USB3","range re-segmentation"
"https://ibsi.readthedocs.io/en/latest/","7ACA","outlier filtering"
"https://ibsi.readthedocs.io/en/latest/","6CK8","distance weighting"
"https://ibsi.readthedocs.io/en/latest/","LQD8","volume voxel representation"
"https://ibsi.readthedocs.io/en/latest/","4KW8","volume voxel point set representation"
